epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,736.61,1.67828,1.91511,1.60038,0.56255,0.50326,0.52937,0.23294,1.91143,2.75074,1.7049,0.000665211,0.000665211,0.000665211
2,1424.26,1.54021,1.48043,1.47066,0.84003,0.61957,0.74831,0.38732,1.63641,1.287,1.49976,0.00106817,0.00106817,0.00106817
3,2103.69,1.47624,1.30023,1.42555,0.75918,0.7163,0.75726,0.38638,1.70537,1.13065,1.48687,0.00120712,0.00120712,0.00120712
4,2778.58,1.40306,1.16901,1.38734,0.83431,0.74783,0.82841,0.46352,1.49996,0.96526,1.34567,0.000812,0.000812,0.000812
5,3456.04,1.32031,1.05948,1.33961,0.90326,0.76114,0.87996,0.5194,1.4313,0.83626,1.28058,0.000416,0.000416,0.000416
